,College Infrastucture,Academics,Placements,Value for Money,Campus Life
0, 3.1, 3.1, 3.2, 3.2, 3.6
1, 4.3, 4.3, 4.1, 4.0, 4.3
2, 4.3, 4.4, 4.0, 3.9, 3.8
3, 3.3, 4.2, 4.5, 4.5, 3.6
4, 3.8, 4.0, 3.1, 3.6, 3.7
5, 4.5, 4.6, 4.2, 4.1, 3.8
6, 4.2, 4.1, 4.0, 4.0, 3.8
7, 4.6, 4.2, 4.0, 3.9, 3.9
8, 4.3, 4.4, 4.0, 4.0, 3.9
9, 3.9, 3.7, 3.5, 3.8, 3.5
10, 3.3, 3.3, 2.4, 3.0, 3.5
11, 4.4, 4.2, 3.3, 4.1, 3.5
12, 4.5, 4.3, 4.2, 4.7, 4.6
13, 3.3, 3.6, 2.8, 3.9, 3.3
14, 3.3, 3.5, 3.4, 3.5, 4.0
15, 3.8, 3.7, 3.1, 3.1, 3.6
16, 3.9, 3.4, 2.4, 3.1, 3.5
17, 3.3, 4.5, 4.2, 3.6, 3.5
18, 3.9, 4.4, 4.1, 4.3, 4.2
19, 4.6, 4.8, 4.6, 4.0, 4.6
20, 4.8, 4.3, 3.9, 4.2, 4.3
21, 3.0, 3.0, 2.8, 2.7, 3.5
22, 3.8, 3.8, 3.4, 3.6, 3.9
23, 3.9, 3.9, 3.6, 3.7, 4.1
24, 3.7, 4.0, 3.8, 3.9, 3.8
25, 3.6, 4.0, 3.5, 3.5, 3.7
26, 3.4, 3.6, 3.3, 3.3, 3.8
27, 3.4, 3.8, 2.9, 3.3, 3.3
28, 3.9, 4.1, 3.9, 4.1, 4.1
29, 4.4, 4.4, 3.5, 3.9, 3.9
