College Name,Reviews
"Datta Meghe College of Engineering, Navi Mumbai ","      Datta Meghe College of Engineering (DMCE) is located quite conveniently close to Airoli railway station on the trans-harbour route. The campus is just about 5-6 minutes away from the railway station and it's not a very bad walk either.This is where Datta Meghe College of Engineering (DMCE) takes a hitting somewhat. As of now, it doesnÃ¢â‚¬â„¢t really have anything like a Ã¢â‚¬ËœcampusÃ¢â‚¬â„¢, itÃ¢â‚¬â„¢s just a building. This is why some students go all the way to Airoli. The placements, in general, are pretty good, with companies like Infosys and Patni taking students in big numbers. The Civil Engineering department has an excellent placement record of 100%. Chemical and Mechanical Engineering departments have below average placements. Datta Meghe College of Engineering (DMCE) faces a problem very similar to most colleges located in village-like areas- village crowd. About 40% of the crowd comes from villages. Most students say itÃ¢â‚¬â„¢s better than the general Airoli crowd Datta Meghe College of Engineering host their cultural fest Milestone in the months of Jan or Feb, and the technical fest (having the original name Technitude) in the month of March.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      In our college, some faculty members are experienced while most of them are freshers. The college has an average teaching staff, canteen service is poor, and mobiles are banned on the campus. Classrooms are good, still sometimes, there is a ventilation problem & sometimes ceiling fans fall in the classrooms.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      It's very good college if staff and results are considered!Even though the campus is not a point to discuss on but surely the massive 13-floor building structure is influence. The campus selection seems average and deserving students find their career indeed!   "
"Datta Meghe College of Engineering, Navi Mumbai ","      College life sucks, placements are good, an old faculty is good but new one sucks, the best canteen in the world, Of course, I am speaking sarcastically. management doesn't care about it, Recently started college days but not up to the mark, I would never refer anyone this college.   "
"Datta Meghe College of Engineering, Navi Mumbai ",      Teaching here is good. But space provided isn't sufficient.  No playground no proper common room.  Teachers are cooperative I would recommend this college for people only for courses like civil engineering. This college is basically known for civil engineering.    InfrastructureAcademicsCampus Lif
"Datta Meghe College of Engineering, Navi Mumbai ","      Stupid Crowd. Never go to this College if You are going for Crowd. But overall good faculty.The problem is Management quota where they ask a huge amount of money and give admission to students who are not deserving. Plus No Campus. The Labs are not good.    "
"Datta Meghe College of Engineering, Navi Mumbai ","      You can't say that this is a bad College. This College provides you good faculty but still it doesn't provide the students the whole package. I mean there's no campus in the college. I guess it is the main drawback that when you enter in the college you just see a building. Except this thing, you can really enjoy. I mean I m enjoying it. If u have got even a little friends you can make really good memories.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      The college is easily accessible. A 5 min walk from Airoli station. Railway commuters would find it manageable. There is hardly  any campus area but the infrastructure is good enough according to my limited experience of various engineering colleges.The best part about the college is having a nice blend of both young and experienced faculty which is probably among the most important features.I would not recommend this college if you have a profound interest in sports. There is no such thing as a playground in our campus. When it comes to placement and training the college does a good job and civil department of the college is well known for producing top university rankers for years now.The college does not have a hostel either so accommodation could be an issue.Technical fest, cultural fest 'Milestone', Sportszilla are some of the events that take place and are enjoyable, to say the least.The college locality isn't exactly a great place to hangout.  With the cheerful crowd that you will meet here, you are bound to make some friends for life.It's definitely a great college considering the cutoff criteria of other good colleges like space and VJTI.I definitely would recommend DMCE to all my friends.   "
"Datta Meghe College of Engineering, Navi Mumbai ",      Thew Life in this college is bit boring. No place near the college where you can chill out. The College staff not so friendly. Average teaching experience teachers. No campus where you can roam. A Great infrastructure and for students addicted to outside food will love this college especially the non-vegetarians. The College very much near from Airoli station. Placements are quite not good. very few well-reputed companies visit the college. Overall I'll say an average College. Not a 3rd class one but not the 1st class one also.   
"Datta Meghe College of Engineering, Navi Mumbai ","      Our college is sufficient & better than few other Engineering colleges.There's still a Room for improvement just like every place in our Country.It is a good college, nice crowd & good teachers.Placements for IT & Computer are Good as far as I know & even other Branches get placed in IT.Overall a Good College. :)   "
"Datta Meghe College of Engineering, Navi Mumbai ",      If placement and faculty are your concern then Datta Meghe is a decent place for both. The crowd is mixed involving both the smart and the dull(thanks to reservation system). The library and laboratories have some outdated books and instruments respectively but so is our syllabus. Overall Datta Meghe is not at all a bad place to me.   
"Datta Meghe College of Engineering, Navi Mumbai ","      Chemical and Mechanical Engineering departments have below average placements, though. The Chemical department, in particular, has really underwhelming placements. Overall placements are about 50%. Major companies visiting campus: Infosys, L&T infotech, Wipro, IBM, TCS   "
"Datta Meghe College of Engineering, Navi Mumbai ",      New Building of Datta meghe college has quite good infrastructure with nice environments... so that you may feel cool in summer without fans too.... quite airy environment with badminton court at the center on second floor...Nice New Infrastructure.   
"Datta Meghe College of Engineering, Navi Mumbai ","      the new building has been constructed and it is probably one of the best infra in Mumbai engineering colleges. This college is the next best college for CIVIL after the autonomous institutes. the Fests do lack the frills, but are descent enough. Make an informed choice.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      I guess I can describe the college a little better now after studying here for like 2 months, after Banerjee has taken over; they're trying to be the NEXT Father Angel's. Majority of the crowd is not worth the description, but there are some really good students too! the seniors simply rock!! A few teachers are a little Bad, while some can't teach at all!   "
"Datta Meghe College of Engineering, Navi Mumbai ","      not a bad decision to choose dis college if u r entering any engg college. but don't expect luxury ,ull have live with wat it has, to give u. faculty is quite good so u can learn something in these 4 years good. in short. college...good placements....excellent faculty.....but pathetic crowd....absolute disgrace.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      the crowd is also not bad, the teachers r extremely co-operative, placements r excellent, attendance rules r lax, academics r great, overall its a very good n reputed college....i wud say ' Go for iTTT !!! placements are not 100 percent but  Nowadays, even IITs  don't have 100% placements.    "
"Datta Meghe College of Engineering, Navi Mumbai ","      Attendance matters only when you've a female professor and when you're in F.E. otherwise very much helpful. Canteen was worst but our fee hike has made new canteen for new students. No parking space. No playgrounds. Only place to hang around is Hotel Priyanka and Mamta (most of you come to know once you take admission). If somehow you go to college for inquiry or admission reason, boys, please look for a professor in Comps department.. She is Awesome!! :)   "
"Datta Meghe College of Engineering, Navi Mumbai ","      Festivals and tech fest are pretty much fun(You should be involved though)Placements are up to the mark provided you qualify.In short its a good coll., for sure you will have fun, make the greatest friends, as you embark on the mammoth journey of Engg.All the best!   "
"Datta Meghe College of Engineering, Navi Mumbai ","      The placements in general are pretty good, with companies like Infosys and Patni taking students in big numbers. The Civil Engineering department has an excellent placement record of 100%. Not a bad college, not bad placements, but if youÃ¢â‚¬â„¢re going for the crowd, donÃ¢â‚¬â„¢t go to DMCE.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      DMCE is a great college. Absolutely LAX in EVERYTHING! Faculty is extremely co-operative (exceptions prove the rule!)Very liniment as far as attendance and assignments are concerned. About the crowd, unless you are from one of those up-tight and inflexible dude from a high class family in South Mumbai who makes friends ONLY with equals, you should not have any problem here. All in all a very fun loving and pleasant crowd.Old building infrastructure and labs might not be very good ( IT labs are pathetic!) but the leniency in Attendance, assignments and TW marks more than make up for it.There are not very known hangouts in airoli but you can always go to Thane or Mulund or the not-so-far Vashi for doing tp !Canteen is now relocated to the basement of the new building but its still not THAT good !I would suggest you to come here if you are a laid back, and chilled out fellow. Pretty nice college !   "
"Datta Meghe College of Engineering, Navi Mumbai ","      There are three problems (3 C's) mentioned above:-1.Campus.2.Canteen.3.Crowd.The changes;-1.Campus- Yeah campus still remains an issue as there is only the building...but there are a couple of grounds just behind the college which can be used for cricket, football etc2.Canteen:- The canteen has changed completely..much wider and better..nothing to complain.3.Crowd:- Due to excellent placements in Civil and Comps dept. majority of the students are from Mumbai side!   "
"Datta Meghe College of Engineering, Navi Mumbai ","      Now, we can say it has become one of the ambitious college for students especially for those who lives near thane, or vashi because time taken to reach the college is very less compared to other colleges. The teaching staff is very honest, knowledgeable and positive by their attitude (especially experienced staff). Not only profs are supportive but also seniors.    "
"Datta Meghe College of Engineering, Navi Mumbai ",      good college from the academic point of view. some teachers are disappointing but most are very cooperative and approachable. class rooms are spacious and comfortable. the library is a real asset. ample books and just the right ambiance to read. crowd is fun loving and easy going. attendance is not very strict but better be safe with 70-75 %.   
"Datta Meghe College of Engineering, Navi Mumbai ",      There are hangout places like CCD & Dominos a little far... but in Airoli only! And the college building is big enough... we have badminton court on 2nd floor & 1st floor is full library... canteen has improved a lot... no hazards in it... one of the best college for civil.. if you get 110-140 then you will surely get this college depending on branch!   
"Datta Meghe College of Engineering, Navi Mumbai ","      Nice college. Good placement, good library, good staff and supportive seniors... the new building is excellent its campus is bigger in terms of floors rather than acres... it is the tallest engineering college in Mumbai. No restrictions here in Datta Meghe... very good college...Enjoy your life :p   "
"Datta Meghe College of Engineering, Navi Mumbai ",      Very nice college. Location is also good. Canteen needs some improvement ASAP. Teaching staffs are cooperative and overall very good college. Awesome college all teachers are too co-operated. I like my college... DMCE Rocks.. :) ONLY THING is  Canteen should be more better.   
"Datta Meghe College of Engineering, Navi Mumbai ","      Good college from academic point of view but will not entertain you for sports. Teaching staff is good (specially experienced staff), co-operative. No campus at all it is only a tall building. Canteen is worst. Crowd isn't too good or too bad. 75% attendance is compulsory placements are good enough. Overall point of view it is a good college   "
"Datta Meghe College of Engineering, Navi Mumbai ","      Hostel is not available for this collage.faculty alway changed within 2,3 months.placements are good.Play Ground is also not available for students.labrotary equipments are not in running conditions.students teachers communication is very good.co-operate the all students.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      95% of teachers don't have knowledge.............If u r interested in learning then don't go for it.If u want to live ur college life then awesome place....Only civil dept. is somehow good....Mechanical is far closer to worst....No playground....   "
"Datta Meghe College of Engineering, Navi Mumbai ",      Full fun in college life.Friendly atmosphere Between Faculty and students...   
"Datta Meghe College of Engineering, Navi Mumbai ","      College is very much near from airoli railway station about 10 minutes, for mechanical it is one of the better college, faculty is also experienced, conducting lot of events like technical events, sports , cultural........placement is about 60%............   "
"Datta Meghe College of Engineering, Navi Mumbai ",      The faculty and management were the best. They train students very well and also help during placements.Made good friends and teachers were very helpful.very good experience during my whole tenure of engineering.The infrastructure was awesome and nice facilities.    
"Datta Meghe College of Engineering, Navi Mumbai ","      advantagesnice college, wonderful staff very , nice campus, very good in practicals, nice computer lab , attendance advantage Datta Meghe College encourages students from all faith backgrounds to find their God-designed potential for leadership, scholarship and service. At Union, students develop spiritual and professional gifts; find professors who care for and respect the individual; and seize opportunities to create, learn and connect.   PlacementsAcademicsCampus LifeIndustry Exposur"
"Datta Meghe College of Engineering, Navi Mumbai ","      Our college infrastructure is good.but the quality of faculty can be improved and should be focus on practical rather than theoryPlacement is goods but can be improved further. Faculties are friendly and they solve our problem. Enjoyed college life not only studies but also tech fest    "
"Datta Meghe College of Engineering, Navi Mumbai ","      While being here,in my college i never felt lonely or sad. Friends here are not only my colleagues but also teachers. Canteen is bit wierd but with friends everything is very happening. Sports facilities are quite good,infact we have our own ground. I am a proud Dmce'ite.   "
"Datta Meghe College of Engineering, Navi Mumbai ","      ""Dmce has good faculty but poor canteen and sports facility. The tech fest of the college is awesome with exciting prices to be won""   "
"Datta Meghe College of Engineering, Navi Mumbai ","      ""The biggest disappointment is the college location as it is in the middle of nowhere in a place called 'Airoli'. The college reputation however makes up for the location as it is arguably the best college in navi Mumbai .The faculty is average to say the least,its top notch for civil engineering and abysmal for electrical engineering.The placement are a saving grace though and the % of graduates placed in campus interview is growing every year.""   "
"Datta Meghe College of Engineering, Navi Mumbai ","       If your aim is to just focus on studies and want to do masters soon after B.E. then this college will suit you. If you are looking for placements soon after your engineering then pls don't go.The placements are not good at all. Only IT students get placed for a salary range of 2 lakhs to 3.2 lakhs. If you are from etrx,chemical or mech then its too difficult to find job as only IT companies visit. The infrastructure is good if you are not an athletic person. The teaching staff is very good. The HOD and teachers are really helpful."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    Decent college wasn't talked about much when i joined, i was kinda hesitant on joining.The crowd is decent mostly Gujjus ,seniors help out a lot i learnt website making and Photoshop from my seniors.Some Teachers are really good and helpful and those are the new young teachers who have been students before and know what students have to go through, some teachers are you're regular teacher type, don't have to spell it out now do i? Infrastructure has been improving since i joined. The student committees are the heart of the college who bring out the change thats needed if you're there don't hesitate to join one."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",    Infrastructure is good. Very few students gets placed. Faculty doesn't have great knowledge about the subjects. Hostel facility is available only for out station students. Hardly any practical exposure is available. Low level of industry exposure. Overall just an average college
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",    Only a few really good professors. They just run after us for attendance (in spite of such bad teaching). Internal marks are also given on basis of attendance. We just have to run after profs during submissions. Placements are good as we can get placed at vidyavihar.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    Since it's college life, so it was great because of bunking,gathering in the canteen, fests, and the rest obvious fun. But there is no good college campus to hang out, not good premises (like ideal college imagination). The faculty is average like any other college. Campus Recruitment should be improvised. More and better companies should be called for hiring."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    College life is good.. infrastructure has improved a lot since my pass out. Placement is also good, needs to bring more core companies especially for electronics and telecom branch.. faculty can also improve. Need to bring some more qualified, more skilled and people with good communication to improve the quality of education and academics"
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    At first the college infrastructure looks simple and college looks simple too but we all know that we should not judge a book by its cover. There is a very warm vibe that comes when you enter the college , every person in the college (faculty, HODs, students etc) all creates a positive aura which helps to enhance the overall learning of one mind and soul. All the teachers and seniors are well mannered and very helpful"
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    K. J. Somaiya Institute of Engineering and Information Technology, Sion opens a plethora of opportunities to grab on to and gain knowledge and experience before entering the practical world. I am a student of Second Year Information Technology Engineering. Department of Information Technology majorly focuses on innovation and student projects. There is an Institution Innovation Council (IIC) under MHRDs Innovation Cell that promotes innovation. Several expert lectures on state-of-the-art technologies, workshops, etc. are organized in the department that help you keep updated with the cutting edge inventions in IT. Students are given ample opportunities to strengthen their skills in areas of their interest. I have been grateful to the department for having shown the faith and confidence in me and allowing to explore new horizons while participating in different competitions. The head of IT department and all faculties of IT Department are very helpful and promote the spread of knowledge to every student here. Their college has several committees, societies, and associations on campus, encouraging students to participate in different activities. There are two main festivals in the college, first is Surge the cultural festival and second is Renaissance which is a Tech festival. Several opportunities for the scholarship are available. Assignments and Projects form an important part of the daily routine here and are not simply writing long. Assignments include innovative developments and help you learn a lot. Each student is encouraged by the respective faculty to work on good projects, make timely submission of assignments and provide appropriate output. Any difficulty faced is addressed by the faculties instantly. The results are very good and placements are also good enough for the deserving. I believe the college truly focuses on student growth and has a vision to provide excellent performers to the industry."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    The college has a vast campus and has clean and peaceful surroundings. I am a student of IT department and I must say that it provides best education to the students. The department helps in the overall development of the students.There are various technical committees and student bodies in the college which help the students to improve their skills. The infrastructure of college is well developed. Specifically, the IT Department has a new infrastructure, a building named Riturang with all new labs and very pleasant place to study. The college also conducts technical and culture fest every year. College also focuses on the extra curricular activities. There is a football turf, open gymnasium,canteen,library, computer labs and various other labs dedicated to each field.The faculties of IT Department are also very helpful towards the students. In short, the college helps in the complete growth of a student."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    Infrastructure: The infrastructure of our college is excellent with 24 hours of wifi in the institute areas. There are well-equipped classrooms with projectors and a library having a wide range of books ranging from references, novels, competitive exams and many more. Faculty: Our faculty members are good enough. They have prompt knowledge and appropriate qualifications to teach their subjects. Also, they have vivid knowledge of other subjects as well. But some of the teachers are very adamant and aggressive. So students can't talk to them comfortably. The student to faculty ratio is very good. The lab assistants are also quite good. Other: The college has good tie-ups with the industry. Regular industrial visits are also organized here. The sports fest named Score and cultural fest named Surge is great. There is also a technical fest named Renaissance. The campus crowd is good. Scholarships are also provided to academically weaker students as well as toppers. Placements : Placements in our college were very good because our placement team trained us right before placements which greatly helped us in facing interviews."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    K.J. Somaiya Institute of Engineering and Information Technology is located in Sion, a neighborhood of Mumbai. From a student’s point of view, factors such as college location, traveling distance plays an important role in the overall educational activity. KJSIEIT College is nearer to the central railway station and also surrounded by abundant bus stops near the college vicinity. It is also very well connected to the highways. So, one can travel with private/government vehicles. This not only makes traveling easy for the students but also helps them to perform day-to-day activities without stress and time loss. The infrastructure of our college has various facilities like state of the art computer labs, a diversified library with books containing the knowledge of various fields. Emphasis is also given for the development of innovative ideas amongst the students. This is achieved by a good initiative taken by the college in the form of an incubation center viz. Riiddl Lab where meticulously the faculty nurtures the thoughts among the students by constant interaction and group discussion. The faculty members are not only experienced but also very kind and friendly. They help the students in solving academic problems whenever needed. The faculty understands that in addition to technical skills, extra-curricular activities also play an important role in order to develop skills like leadership, management, organizing, communication, etc. So, the faculty also supports and encourages us to participate in sports and extracurricular activities with the help of which students get to develop mental as well as physical state. They have many technical committees and clubs for students to join of their interest some of them are IEEE , IET , IETE, IEI , CSI , ACS , ROBOCON , INFINITE LOOP, etc. KJSIEIT provides various opportunities to grow by conducting various guest lectures and seminars on modern technology.KJSIEIT conducts technical as well as cultural fest every year so that the balance between entertainment and study remains constant. After even semester college conducts and official industrial visit in which students gain practical knowledge of the things they have been studying which is very helpful to them in future."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    KJSIEIT has a huge campus with 2 buildings, 2 big grounds, 1 park, and an astroturf. The Institute is accredited with grade ’A’ by NAAC and also three programs namely Computer engineering, Electronics Engineering, and Electronics & Telecommunication engineering are accredited by NBA. Apart from these three programs, Information Technology engineering is another good program offered by KJSIEIT. I being a student of IT engineering personally recommend you guys to opt for IT engineering in KJSIEIT as it has various benefits over other programs like there is a separate building with new infrastructure and latest machines, project guides here help you to turn your ideas into reality, main focus here is innovation, over the year many seminars and hands-on workshops are arranged for students based on their interest. Seminar Hall and Auditorium here are very spacious and fully air-conditioned, not only this but all the labs here are fully air-conditioned too. The library contains all the books a student may need during his entire engineering studies. As a Technical Institute, one of the main requirement for a student is continuous net access, once admission is confirmed a student gets access to the high-speed wifi and also gets an email id with somaiya domain which has various advantages like unlimited drive storage, IEEE reference papers, etc Computer engineering, Information Technology Engineering, Electronics Engineering, and Electronics & Telecommunication engineering are the programs provided by this Institute. All the staff in this Institute be it teaching or non-teaching are very cooperative and always ready to help. Extra lectures are conducted for students who face difficulties in academics. Labs are kept open after college hours for the students who want to work and use the machines. Institute focuses on the overall development of a student, so students here are encouraged to enroll themselves in various activities and committees. Campus placements here are good,"
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","    Institute for students to prepare them for all kind of interviews. In-house internships are also offered which helps freshers to boost their experience. There are around 39 technical and non-technical committees in the Institute some of them are CSI, IEEE, NLI, ISTE, etc. KJSIEIT was awarded as the Best Institute by CSI MUMBAI TECH NEXT INDIA in the year 2018. The principal of KJSIEIT was awarded as the BEST Principal by CSI MUMBAI TECH NEXT INDIA in the year 2018. One of the biggest job fairs of Mumbai was organized by IEEE in KJSIEIT. For those who love social work and want to do something for the country, there is also an NSS team that organizes more than 25+ events, each of them having some social cause. Some of the main events are the blood donation camp and cleanliness drive. Students’ Council is the most active student body of the Institute they are not only responsible for organizing the Sports and Cultural fest, but they also act as the bridge between students and the staff. The Robocon team of KJSIEIT was ranked 3rd All Over India in ABU ROBOCON 2017-18. The NEW LEAP INITIATIVE team (NLI) of KJSIEIT were winners of the ""Touch The Jovian Moon Contest"" organized by LPSC ISRO. There are also cultural activity teams like a dance team, fashion show team, dramebaaz team, etc. Who have won several competitions all over India. Facilities for various indoor and outdoor sports are provided by the college."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","The college has a very big and hygienic campus. It has many activities within it like cultural forums, fest, Exhibitions, etc. It has a very playground where you showcase your sports activities. It also has a startup school which is RIIDL where you can present your unique ideas and get help for them. The college's fees too high than the average. The admission process is very simple, it's all online based that you have to just fill the form for a particular course and then just wait for the merit list to come. If there is your name on it then you have to go to college with the required documents and submit it. I preferred this college because none other was available at that time and luckily with the juju quota I got admission to it."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",It is a great college that mainly contributes to the growth and overall development of the students in all aspects. I enjoyed my experience here and would highly recommend it to others.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Starting from entrance it's ok not that good.Basically there are four fields Electronics, electronics and telecommunication, computer, information technology.According to your interest you choose your best one. Exam structure is totally depends on Mumbai university. Mumbai university is one of the most popular in India.Fee structure is expensive according to me.You will get much knowledge from seniors as they will guide you properly. Now discussing about admission process u can do it from online as u need to fill the form of whichever college u want and then the result will display online as per your criteria of marks. Now reason of preferring this college over others is that I got less marks in Cet."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",Kjsieit is accredited with grade A by NAAC and one of the best institutes for engineering under Mumbai university. The college has good placements. The college is with full of discipline and has all the facilities for the students.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Good infrastructure, good reviews about this college is a major reason I have never seen any bad review about this college, good placement is also a key factor for selecting this college which is almost 100 % for IT department especially, KJSiEIT is accredited by NAAC with 'A' category."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",As in I did not have any factors that could make me feel that I'll learn in this college only but the factors that made the institute to add in the form were like the institute comes under Somaiya trust and it's well reputed as all of us know and had heard about the college as well so that's why I included it in the form.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",The college has excellent faculty which not only teaches the syllabus portion but also helps in extra curriculum activities. I was a DSE student so my admission procedure was different. The placement record is excellent which is one of the plus points in choosing this college.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","In my college eligibility criteria required for admission was based on CET marks and above in the HSC examination. In the enrollment process, you should have all the legal documents shown in the list of documents provided by the college, If you're not selected in the CAP rounds because Somaiya holds the second phase of admission also, so there is no need to worry."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",It has brilliant teachers and one of the best college in Mumbai of engineering and offcourse the area was brilliant and also my seniors suggested me to join this college and it has experienced teacher and also has great committe like IEEE CSI and many more
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",The college is good. Management is also pretty good.College is growing bigger and bigger as the years are passing. Hope to see good improvements. :)
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",The college is good has good ambience but the best part is placement here we get many companies as part for getting placed
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Fees of 1st year for 2017-18 batch was 1.31 LPA and from 2nd year onwards it was 1.33LPA everything including tuition fees, cultural fees, exam fees and most importantly railway fee contentment are included in it. College is walking distance of 3 mins from Chunabhatti and 10 mins from Sion."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Somaiya college is well known college in Mumbai region and having good academic reputation, also various sorts facilities are available. Also it has hostel facilities which is important for outside students. These reasons made me choose K. J. Somaiya Institute of Engineering and Information Technology for my graduation."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Overall this college is a proper balance of studies, extra-curricular activities"
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Placements are very good. Accenture is the mass recruiter and many other renowned companies visit the campus. If you have a decent pointer, placement won't be an issue."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","KJSIEIT has a great infrastructure very well maintained with all lab equipment computers labs, all latest software updated, 24/7 wifi connectivity, E-Classrooms, Sports Ground, Turf, Canteen, Excellent Library, 2 Lifts, and many more facilities and keeps on updating as and when needed. It is close to my house, also the travelling time isn't too much like from the station as well it is like 10 mins walking from chunabhatti and from sion it takes 15 mins walking. this college fits well into my budget and has all the facilities any high-end college would have."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",We don't get to choose Institute within a list of many institutions we get allotted through system we get to fill the form of all names of institutions in priority manner and we can choose which institutions to give priority
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",The overall college experience is very good. The teachers in the Electronics department are really good. They are very kind and helpful.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","It is a very good college for engineering. The campus is quite huge. College crowd is good. The admission process was quite easy and didn't face any trouble while admission. All the staff members were really supportive, guided and helped throughout."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",The college is very good as it focuses on both the academic and overall development of students. I would highly recommend this college to others.
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","Very good infrastructure, with 11v11 football ground, turf, wifi facility in the whole campus and ac equipped labs. Admission starts into the month of august through MHCET result and college have Gujarati quota. Placements are very decent for IT/COMPS and good infrastructure with the luminous crowd and teaching staff. Quora and collegedunia helped me a lot while choosing this college."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","The main focus is Innovation, many seminars and workshops, Spacious infrastructure, Knowledged, and Qualified Teachers."
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai","The admission process was very smooth, the dates for cap round were provided on time. The reason for preferring this college. The campus environment is very active. All the teaching and non-teaching staff is supportive."
